SITE_NUMBER,DEER
1,Low
2,High
3,High
4,Moderate
5,Moderate
6,Moderate
7,Low
8,Moderate
9,Low
10,High
11,High
12,High
13,Moderate
14,Low
15,High
16,High
17,Moderate
18,Low
19,High
20,High
21,High
22,Low
23,Moderate
24,Low
25,High
26,Low
27,Moderate
28,High
29,High
30,Low
31,Moderate
32,High
33,High
34,Low
35,High
36,Low
37,High
38,Moderate
39,Moderate
40,Moderate
41,Moderate
42,Moderate
43,Moderate
44,Moderate
45,Low
46,Moderate
47,High
48,Low
49,Low
50,Moderate
51,Low
52,Low
53,Low
54,Moderate
55,Low
56,Moderate
57,Moderate
58,Low
59,Moderate
60,Moderate
61,Low
62,High
63,Low
64,Low
65,High
66,Low
67,Moderate
68,Moderate
69,High
70,Moderate
71,High
72,High
73,High
74,Moderate
75,Low
76,Moderate
77,Moderate
78,Low
79,Moderate
80,High
81,High
82,High
83,Low
84,Moderate
85,Low
86,Low
87,Low
88,Moderate
89,Low
90,High
91,High
92,Low
93,Low
94,High
95,Low
96,Moderate
97,Low
98,Moderate
99,None
100,High
101,High
102,Moderate
103,Low
