AMALG_BRC_CODE,ACTUAL_AMALG_BRC_CODE,AMALGAM_NAMES,DBH_TREE_SHRUB
9202395,9204658,Abies alba,T
9202396,9204658,Abies grandis,T
9202397,9204658,Abies procera,T
9204658,9204658,Abies sp.,T
9203,9203,Acer campestre,T
9204,9204,Acer platanoides,T
9205,9205,Acer pseudoplatanus,T
200001601,9204661,Acer sp.,T
9209,9209,Achillea ptarmica,
9202241,9202241,Aesculus hippocastanum,T
92077,92077,Alnus glutinosa,T
200001691,200001691,Azalea spp.,
920239,9204445,Betula pendula,T
920240,9204445,Betula pubescens,T
9204445,9204445,Betula seedling/sp,T
9204445,9204445,Betula sp.,T
920277,920277,Buddleja davidii,
920428,920428,Carpinus betulus,T
920432,920432,Castanea sativa,T
9202398,9202398,Chamaecyparis lawsoniana,T
200001612,200001612,Chamaecyparis sp.,T
920528,920528,Clematis vitalba,
920548,920548,Cornus sanguinea,S
920548,920548,Cornus sp.,S
920557,920557,Corylus avellana,S
9204526,9204526,Cotoneaster sp.,
920570,920570,Crataegus laevigata,S
920568,920568,Crataegus laevigata x monogyna (C. x macrocarpa),S
920569,920569,Crataegus monogyna,S
9201822,9201822,Cytisus scoparius,
920617,920617,Daphne laureola,
920762,920762,Euonymus europaeus,S
920810,920810,Fagus sylvatica,T
9201528,9201528,Fallopia japonica,
920839,920839,Frangula alnus,S
920840,920840,Frankenia laevis,
920841,920841,Fraxinus excelsior,T
920841,920841,Fraxinus excelsior (c),T
9201023,9201023,Ilex aquifolium,S
9201049,9201049,Juglans regia,T
9201080,9201080,Juniperus communis,
9201091,9201091,Laburnum anagyroides,T
9201103,9201103,Lamium purpureum,
9201104,9201104,Lapsana communis,
9201105,9204441,Larix decidua,T
9201105,9204441,Larix decidua (c),T
9202302,9204442,Larix kaempferi,T
9204442,9204442,Larix sp.,T
9202250,9202250,Ligustrum ovalifolium,S
9201144,9201144,Ligustrum vulgare,S
9201188,9202613,Lonicaera nitida,
9201188,9201188,Lonicera periclymenum,
9201230.1,9201230.1,Malus domestica,S
9201230,9201230,Malus sp.,S
9201230,9201236,Malus sylvestris,
9204407,9204407,Nothofagus nervosa,T
9201470,9201470,Picea abies,T
9202401,9202401,Picea sitchensis,T
9205155,9205155,Picea sp,T
9201482,9201482,Pinus nigra,T
9204546,9204546,Pinus sp./seedling,T
9201484,9201484,Pinus sylvestris,T
200001651,200001651,Populus (cultivar),T
9201549,9201549,Populus alba,T
9201551,9201551,Populus canescens,T
9204550,9204550,Populus deltoides,
9204313,9204313,Populus nigra,T
200001651,200001651,Populus sp,T
200001651,200001651,Populus sp.,T
9201555,9201555,Populus tremula,T
9201611,9201611,Prunus avium,S
9201613,9201613,Prunus cerasus,S
9201614,9201614,Prunus domestica,S
9201615,9201615,Prunus laurocerasus,S
9202618,9202618,Prunus lusitanica,S
9201616,9201616,Prunus padus,S
9204552,9204552,Prunus sp.,S
9201617,9201617,Prunus spinosa,S
9201618,9201618,Pseudotsuga menziesii,T
9205178,9205178,Pseudotsuga spp.,T
200001656,200001656,Pyrus sp.,S
9201635,9201635,Quercus cerris,T
9201637,9201637,Quercus ilex,T
9201638,9204446,Quercus petraea,T
9204446,9204446,Quercus petraea x robur,T
9201640,9204446,Quercus robur,T
9202419,9202419,Quercus rubra,T
9204446,9204446,Quercus seedling/sp,T
9204446,9204446,Quercus sp.,T
9201675,9201675,Rhamnus cathartica,S
9201687,9201687,Rhododendron ponticum,S
9205194,9205194,Rhododendron spp.,S
200001596,200001596,Ribes nigrum/rubrum,
200001596,200001596,Ribes rubrum,
200001596,200001596,Ribes sp.,
9201697,9201697,Ribes uva-crispa,
9201698,9201698,Robinia pseudoacacia,
9201707,9201705,Rosa arvensis,
9201708,9201705,Rosa canina agg.,
9201705,9201705,Rosa seedling/sp,
9201771,9201771,Sagittaria sagittifolia,
9201787,9201787,Salix aurita,S
9201788,9201788,Salix caprea,S
9201789,9201789,Salix cinerea,S
9201793,9201793,Salix fragilis,S
9201794,9201794,Salix herbacea,
9201802,9201802,Salix repens agg.,
9204558,200004002,Salix seedling/sp,S
9201805,9201805,Salix viminalis,S
9201813,9201813,Salvia verticillata,
9201815,9201815,Sambucus nigra,S
9201816,9201816,Sambucus racemosa,S
9201958,9201958,Sorbus aria,T
9201960,9201960,Sorbus aucuparia,T
9201967,9201967,Sorbus lancastriensis,T
9204561,9204561,Sorbus sp.,T
9201977,9201977,Sorbus torminalis,T
9202022,9202022,Symphoricarpos albus,
9202029,9202029,Syringa vulgaris,
9202039,9202039,Taxus baccata,T
9202403,9202403,Thuja plicata,T
9205288,9205288,Thuja spp.,T
9202063,9202063,Tilia cordata,T
9205289,9205289,Tilia platyphyllos,T
9205289,9205289,Tilia sp.,T
9202065,9202065,Tilia x vulgaris,T
9201241,9201241,Tripleurospermum maritimum sens.lat.,
9202404,9202404,Tsuga heterophylla,T
9202112,9202112,Ulex europaeus,
200001670,9205313,Ulex sp.,
9205313,9205313,Ulex sp./seedling,
9202119,9202119,Ulmus glabra,T
9202115,9202115,Ulmus minor,T
9202115,9202115,Ulmus minor (c),T
9202122,9202122,Ulmus procera,T
9204314,9204314,Ulmus sp.,T
9202184,9202184,Viburnum lantana,S
9202185,9202185,Viburnum opulus,S
9202205,9202205,Vinca minor,
